prec,M,K,N,cycles,mxu_ops,dram_read_kb,speedup_vs_f16,overlap_pct,dma_bw_pct
f16,128,256,128,8416,1024,1024.0,1.0,82.32,82.2
i8,128,256,128,8428,512,512.0,0.9986,82.23,81.97
i4,128,256,128,5329,256,256.0,1.5793,69.9,75.53
f16,128,512,128,14857,2048,2048.0,1.0,89.08,87.51
i8,128,512,128,11157,1024,1024.0,1.3316,88.87,86.97
i4,128,512,128,12165,512,512.0,1.2213,86.57,86.48
f16,128,1024,128,27104,4096,4096.0,1.0,91.57,89.97
i8,128,1024,128,20674,2048,2048.0,1.311,92.74,87.13
i4,128,1024,128,17039,1024,1024.0,1.5907,91.48,86.99
