model,batch_M,ctx,util_8,util_16,util_32,passes_8,passes_16,passes_32
Llama-3.2-1B,1,512,12.5,6.25,3.12,983040,245760,61440
Llama-3.2-3B,1,512,12.5,6.25,3.12,1622016,405504,101376
Phi-3.5-mini,1,512,12.5,6.25,3.12,1818624,454656,113664
Mistral-7B-INT4,1,512,12.5,6.25,3.12,3473408,868352,217088
Mixtral-8x7B,1,512,12.5,6.25,3.12,6225920,1556480,389120
Llama-3.2-1B,16,512,100.0,100.0,50.0,1966080,245760,61440
Llama-3.2-3B,16,512,100.0,100.0,50.0,3244032,405504,101376
Phi-3.5-mini,16,512,100.0,100.0,50.0,3637248,454656,113664
Mistral-7B-INT4,16,512,100.0,100.0,50.0,6946816,868352,217088
Mixtral-8x7B,16,512,100.0,100.0,50.0,12451840,1556480,389120
Llama-3.2-1B,32,512,100.0,100.0,100.0,3932160,491520,61440
Llama-3.2-3B,32,512,100.0,100.0,100.0,6488064,811008,101376
Phi-3.5-mini,32,512,100.0,100.0,100.0,7274496,909312,113664
Mistral-7B-INT4,32,512,100.0,100.0,100.0,13893632,1736704,217088
Mixtral-8x7B,32,512,100.0,100.0,100.0,24903680,3112960,389120
